rank,candidate_id,score
1,CAND_0088025,0.9053016304969788
2,CAND_0055905,0.9038439989089966
3,CAND_0002025,0.9033614993095398
4,CAND_0077337,0.9032144546508789
5,CAND_0018499,0.9030262231826782
6,CAND_0076251,0.9020505547523499
7,CAND_0055992,0.9018285870552063
8,CAND_0046525,0.9011682271957397
9,CAND_0005260,0.9008302688598633
10,CAND_0069905,0.9001704454421997
11,CAND_0083307,0.8988780975341797
12,CAND_0046064,0.8985984921455383
13,CAND_0061265,0.8984085321426392
14,CAND_0081846,0.8983660936355591
15,CAND_0060072,0.8978917598724365
16,CAND_0044883,0.897759199142456
17,CAND_0093547,0.8969424962997437
18,CAND_0058575,0.8969069719314575
19,CAND_0081686,0.8965954184532166
20,CAND_0071974,0.8963853120803833
21,CAND_0028793,0.8963494300842285
22,CAND_0007411,0.8962104916572571
23,CAND_0033861,0.8961441516876221
24,CAND_0041611,0.8955155611038208
25,CAND_0041568,0.8954118490219116
26,CAND_0050454,0.8952977061271667
27,CAND_0042506,0.895124077796936
28,CAND_0094759,0.8950414657592773
29,CAND_0018722,0.8948935270309448
30,CAND_0091534,0.8948615789413452
31,CAND_0005649,0.8939131498336792
32,CAND_0093912,0.8937996625900269
33,CAND_0011687,0.8937768936157227
34,CAND_0049896,0.8935109376907349
35,CAND_0083879,0.8933722376823425
36,CAND_0029367,0.8930790424346924
37,CAND_0026532,0.8928647041320801
38,CAND_0053695,0.8922830820083618
39,CAND_0070398,0.8922262191772461
40,CAND_0001610,0.892064094543457
41,CAND_0036437,0.8920005559921265
42,CAND_0030953,0.8919624090194702
43,CAND_0086022,0.8919240236282349
44,CAND_0036184,0.891537070274353
45,CAND_0039383,0.8912123441696167
46,CAND_0027691,0.8911604285240173
47,CAND_0072660,0.8909225463867188
48,CAND_0008425,0.8907997608184814
49,CAND_0061339,0.8906900882720947
50,CAND_0014440,0.8902303576469421
51,CAND_0037000,0.8901395797729492
52,CAND_0092278,0.8900719881057739
53,CAND_0031593,0.8897935748100281
54,CAND_0009024,0.8897539973258972
55,CAND_0093331,0.8895238637924194
56,CAND_0030348,0.8893650770187378
57,CAND_0057563,0.8893489837646484
58,CAND_0065195,0.8893315196037292
59,CAND_0064326,0.8892995119094849
60,CAND_0030031,0.8891077637672424
61,CAND_0065878,0.8890112638473511
62,CAND_0010685,0.88895583152771
63,CAND_0039754,0.8888158798217773
64,CAND_0043228,0.8886224031448364
65,CAND_0020708,0.888525128364563
66,CAND_0013613,0.8885214328765869
